Raw Data File,tracer molecule,labelled positions,abundance,Parameter Value[injection],Parameter Value[Replicate],Factor Value[Incubation time],Metabolite name,CHEBI identifier,atomic positions to the parent molecule/metabolite name,Empirical formula derivatized molecule/fragment,m/z monitored,signal intensity,isotopologue,isotologue abundance relative concentration
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,45115,Glyc_13C4,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,5435,Glyc_13C5,
GlycHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,5482,Glyc_13C6,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,2513,,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,3363647,Glyc_13C0,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,550138,Glyc_13C1,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,2156304,Glyc_13C2,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,296382,Glyc_13C3,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,332,81887,Glyc_13C4,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,333,9870,Glyc_13C5,
GlycHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,334,8296,Glyc_13C6,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,327,4438,,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,328,6759189,Glyc_13C0,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,329,1087145,Glyc_13C1,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,330,4307168,Glyc_13C2,
GlycHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,Glycogen,CHEBI:28087,C1-C6,C14H18O8N,331,584913,Glyc_13C3,
