Raw_Data_File,cells,tracer_molecule,labelled_positions,abundance,injection,Replicate,Incubation_time,Metabolite_name,CHEBI,atomic_positions,Empirical_formula,retention(min),m/z_monitored,signal_intensity,isotopologue,isotologue_abundance
Glc_BEAS2B_24h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,3158,m-1,3158
Glc_BEAS2B_24h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,2783631,m0,2783631
Glc_BEAS2B_24h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,445695,m1,445695
Glc_BEAS2B_24h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,2939479,m2,2939479
Glc_BEAS2B_24h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,400259,m3,400259
Glc_BEAS2B_24h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,75265,m4,75265
Glc_BEAS2B_24h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,8501,m5,8501
Glc_BEAS2B_24h_GlucosaC1C2_2_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,1778,m6,1778

Glc_BEAS2B_24h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,10644,m-1,10644
Glc_BEAS2B_24h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,13751704,m0,13751704
Glc_BEAS2B_24h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,2165917,m1,2165917
Glc_BEAS2B_24h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,14428786,m2,14428786
Glc_BEAS2B_24h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1937226,m3,1937226
Glc_BEAS2B_24h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,360667,m4,360667
Glc_BEAS2B_24h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,37659,m5,37659
Glc_BEAS2B_24h_GlucosaC1C2_3_03,Glc,,,,GlucosaC1C2,03,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,334,8002,m6,8002

Glc_BEAS2B_24h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,327,9927,m-1,9927
Glc_BEAS2B_24h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,328,12863205,m0,12863205
Glc_BEAS2B_24h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,329,2029656,m1,2029656
Glc_BEAS2B_24h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,330,13480357,m2,13480357
Glc_BEAS2B_24h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,331,1803614,m3,1803614
Glc_BEAS2B_24h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,332,339016,m4,339016
Glc_BEAS2B_24h_GlucosaC1C2_3_04,Glc,,,,GlucosaC1C2,04,BEAS2B,Glucose,chebi,C1C6,C14H18O8N1,3.74,333,34518,m5,34518
